#,app_id,app_name,review_id,language_id,language_name,time_id,timestamp_created,timestamp_updated,recommended,votes_helpful,votes_funny,vote_score,comment_count,acquisition_id,steam_purchase,steam_gifted,written_during_beta,author_id,author_num_games_owned,author_num_reviews,author_playtime,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
158,292030,The Witcher 3: Wild Hunt,85151728,2887,english,4904,1611332913,1611332913,True,0,0,0.0,0,5001,True,False,False,765612,52,4,7181,1615,7180,1611377583
167,292030,The Witcher 3: Wild Hunt,85149311,2887,english,6571,1611330020,1611330020,True,0,0,0.0,0,5001,True,False,False,765612,17,2,1018,1018,806,1611387058
181,292030,The Witcher 3: Wild Hunt,85146651,1920,spanish,1493,1611326880,1611326880,True,0,0,0.0,0,5001,True,False,False,765612,25,1,5026,0,5026,1601315894
182,292030,The Witcher 3: Wild Hunt,85146476,1920,spanish,6234,1611326677,1611326677,True,0,0,0.0,0,5001,True,False,False,765612,146,1,1556,1554,1535,1611328474
187,292030,The Witcher 3: Wild Hunt,85146001,2887,english,5161,1611326108,1611326108,True,0,0,0.0,0,5001,True,False,False,765612,178,27,8172,0,8172,1609931447
197,292030,The Witcher 3: Wild Hunt,85144827,2887,english,5300,1611324720,1611325072,True,0,0,0.0,0,5001,True,False,False,765612,22,4,40800,15,40800,1611138414
201,292030,The Witcher 3: Wild Hunt,85144282,2887,english,7366,1611323968,1611323968,True,0,0,0.0,0,5001,True,False,False,765612,12,2,11095,0,11095,1602213242
205,292030,The Witcher 3: Wild Hunt,85143427,1920,spanish,7377,1611322848,1611322848,True,0,0,0.0,0,5001,True,False,False,765612,4,1,6502,2364,6334,1611368314
207,292030,The Witcher 3: Wild Hunt,85143108,2887,english,1138,1611322462,1611322462,True,0,0,0.0,0,5001,True,False,False,765612,5,1,2084,1523,1988,1611328285
210,292030,The Witcher 3: Wild Hunt,85142937,2887,english,4365,1611322256,1611322256,True,0,0,0.0,0,5001,True,False,False,765612,25,16,3944,3201,3944,1611321145
218,292030,The Witcher 3: Wild Hunt,85140060,2887,english,8629,1611318383,1611318383,True,0,0,0.0,0,5001,True,False,False,765612,133,5,5817,0,5817,1584120049
222,292030,The Witcher 3: Wild Hunt,85139421,1920,spanish,1218,1611317461,1611317461,True,0,0,0.0,0,5001,True,False,False,765612,34,5,11676,387,11676,1611317320
232,292030,The Witcher 3: Wild Hunt,85137931,2887,english,8650,1611315193,1611315193,True,0,0,0.0,0,5001,True,False,False,765612,167,1,3701,2700,3417,1611387535
242,292030,The Witcher 3: Wild Hunt,85135861,2887,english,2495,1611311997,1611311997,True,0,1,0.0,0,5001,True,False,False,765612,3,2,8343,1447,8063,1611341762
246,292030,The Witcher 3: Wild Hunt,85135078,2887,english,6826,1611310719,1611310719,True,0,0,0.0,0,5001,True,False,False,765612,68,5,9608,0,9608,1543245495
248,292030,The Witcher 3: Wild Hunt,85134950,2887,english,7052,1611310537,1611310537,True,0,0,0.0,0,5001,True,False,False,765612,81,2,1318,1040,1182,1611375916
251,292030,The Witcher 3: Wild Hunt,85133847,2887,english,3254,1611308730,1611308730,True,0,0,0.0,0,5001,True,False,False,765612,33,13,10380,0,10380,1607622264
253,292030,The Witcher 3: Wild Hunt,85133829,2887,english,2527,1611308709,1611308709,True,0,0,0.0,0,5001,True,False,False,765612,4,3,3611,3258,3611,1611292021
255,292030,The Witcher 3: Wild Hunt,85133524,2887,english,8022,1611308228,1611308228,True,0,0,0.0,0,5001,True,False,False,765612,54,9,1254,0,1254,1555060470
267,292030,The Witcher 3: Wild Hunt,85132026,2887,english,4577,1611305777,1611305777,True,1,0,0.523809552,0,5001,True,False,False,765612,24,1,5860,180,5860,1610737732
268,292030,The Witcher 3: Wild Hunt,85131702,1920,spanish,4191,1611305193,1611305193,True,0,0,0.0,0,5001,True,False,False,765612,95,2,18371,5267,18371,1611188111
279,292030,The Witcher 3: Wild Hunt,85129802,2887,english,3771,1611302060,1611302060,True,0,0,0.0,0,5001,True,False,False,765612,142,2,667,564,667,1611263705
294,292030,The Witcher 3: Wild Hunt,85127843,1920,spanish,5813,1611298543,1611298543,True,1,0,0.523809552,0,5001,True,False,False,765612,230,8,1392,1073,1304,1611367329
295,292030,The Witcher 3: Wild Hunt,85127842,2887,english,4566,1611298543,1611298543,True,0,0,0.0,0,5001,True,False,False,765612,106,30,4775,0,4775,1552360251
299,292030,The Witcher 3: Wild Hunt,85126226,2887,english,5205,1611295242,1611295242,True,0,0,0.0,0,5001,True,False,False,765612,26,1,3255,535,3194,1611299302
307,292030,The Witcher 3: Wild Hunt,85124871,2887,english,1744,1611292299,1611292299,True,0,0,0.0,0,5001,True,False,False,765612,137,6,7106,370,6735,1611314711
317,292030,The Witcher 3: Wild Hunt,85122999,2887,english,2460,1611288515,1611288515,True,0,0,0.0,0,5001,True,False,False,765612,410,9,6175,549,6008,1611386648
320,292030,The Witcher 3: Wild Hunt,85122346,2887,english,3719,1611287282,1611287282,True,0,0,0.0,0,5001,True,False,False,765612,2,1,3374,3024,2958,1611374290
324,292030,The Witcher 3: Wild Hunt,85120995,2887,english,4112,1611284731,1611284731,True,0,0,0.0,0,5001,True,False,False,765612,139,5,1648,25,1623,1611338473
326,292030,The Witcher 3: Wild Hunt,85120767,1920,spanish,5286,1611284343,1611284343,True,0,0,0.0,0,5001,True,False,False,765612,104,9,612,2,612,1611101254
328,292030,The Witcher 3: Wild Hunt,85120090,2887,english,5362,1611283165,1611283165,True,0,0,0.0,0,5001,True,False,False,765612,6,1,3217,1711,3127,1611375697
331,292030,The Witcher 3: Wild Hunt,85119425,2887,english,2482,1611281894,1611281894,True,0,0,0.0,0,5001,True,False,False,765612,31,3,985,944,192,1611381668
333,292030,The Witcher 3: Wild Hunt,85118583,1920,spanish,5689,1611280260,1611280260,True,0,0,0.0,0,5001,True,False,False,765612,7,1,910,910,432,1611377186
343,292030,The Witcher 3: Wild Hunt,85116369,2887,english,5342,1611276460,1611276460,True,0,0,0.0,0,5001,True,False,False,765612,11,1,5574,1596,5574,1611275591
348,292030,The Witcher 3: Wild Hunt,85114556,2887,english,7263,1611273291,1611273291,True,1,0,0.0,0,5001,True,False,False,765612,15,1,66744,3463,65694,1611383020
349,292030,The Witcher 3: Wild Hunt,85114535,2887,english,1666,1611273256,1611273256,True,1,0,0.0,0,5001,True,False,False,765612,47,7,10404,0,10404,1608595715
353,292030,The Witcher 3: Wild Hunt,85114125,2887,english,1940,1611272514,1611272514,True,1,0,0.0,0,5001,True,False,False,765612,279,16,12128,396,11781,1611356090
